nom,LOCALISATION,Adresse,long,lat,ALTITUDE,INSTAL,Support,Communication,LCZ_100 m,LCZ_300 m,SVF_3m
S01,Liberation,Dijon / Centre-Ville: Place de la liberation - Grilles de l'Hotel de Ville,5.041254685,47.32152646,263.419,06/06/2014,Grille,,2,2,0.495573549952958
S02,Sainte-Anne,Dijon / Centre-Ville: Parking St Anne,5.03869264,47.31824795,249.818,06/06/2014,Candélabre,,3,2,0.738198123419073
S03,Republique,Dijon / Place de la Republique,5.044427261,47.32705576,263.716,06/06/2014,Candélabre,,4,3,0.684439185180383
S04,Fort d'Hauteville,Hauteville-les-Dijon / d107 Fort de Hauteville-Les-dijon,4.97943466,47.36540438,436.164,06/06/2014,Candélabre,,103,103,0.767944967042676
S05,Barabant,Dijon / 30 rue du Transvaal,5.039005715,47.31540771,239.781,06/06/2014,Candélabre,,2,2,0.402030470400966
S06,Chancelier de l'Hospital,Dijon / croisement rue du Chancelier et rue de Berlier,5.046948783,47.31923786,246.449,06/06/2014,Poteau électrique,,2,2,0.592570937024452
S07,Barbe,Dijon / place Barbe / rue d'Ahuy,5.038402665,47.32873143,284.832,06/06/2014,Candélabre,,2,3,0.463423196441886
S08,Thurot,Dijon / Place au croisement de rue de Thurot et Victor Hugo,5.029486102,47.32635146,298.676,06/06/2014,Candélabre,,2,3,0.600803679516904
S09,'Auxonne,Dijon / Croisement rue d'Auxonne (nø56) et rue Alfred de Musset,5.048545153,47.31420539,240.265,06/06/2014,Candélabre,,3,3,0.526126891309775
S10,Jouvence,Dijon / Croisement rue de Jouvence et rue de la Houblonniere,5.039235204,47.33346631,241.226,06/06/2014,Poteau électrique,,3,3,0.658662511951429
S11,Monchapet,Dijon / 14-15 rue Charles Suisse (Quartier Montchapet),5.02480281,47.33400581,267.631,06/06/2014,Candélabre béton électrique,,4,4,0.52032780640538
S12,Bourroches,Dijon / 36 rue Pierre Joseph Antoine (Quartier Bourroches),5.019971345,47.31206315,231.982,06/06/2014,Poteau électrique,,3,3,0.573333480373398
S13,ZA Chenove,Chenove / 8 rue Jacques Daguerre (ZA),5.01742076,47.28996479,254.873,06/06/2014,Candélabre,,8,8,0.760724235486667
S14,ZA Marsannay-la-Cote,Marsannay-La-Cote / rue Gustave Eiffel (ZA),5.011467472,47.2802775,266.542,06/06/2014,Candélabre,,8,8,0.833536989126568
