name,long,lat
S01,5.041254685,47.32152646
S02,5.03869264,47.31824795
S03,5.044427261,47.32705576
S04,4.97943466,47.36540438
S05,5.039005715,47.31540771
S06,5.046948783,47.31923786
S07,5.038402665,47.32873143
S08,5.029486102,47.32635146
S09,5.048545153,47.31420539
S10,5.039235204,47.33346631
S11,5.02480281,47.33400581
S12,5.019971345,47.31206315
S13,5.01742076,47.28996479
S14,5.011467472,47.2802775
S15,5.096754865,47.31065151
S16,5.065587384,47.34446203
S17,5.036439717,47.28880224
S18,5.057021193,47.35736496
S19,5.085460018,47.33285524
S20,5.119674858,47.31306536
S21,5.11101113,47.27793824
S22,5.056703537,47.28517358
S23,5.007942319,47.34246169
S24,5.019443052,47.33412782
S25,5.004610698,47.31166333
S26,4.999183598,47.27970292
S27,5.017857791,47.31546661
S28,4.993447375,47.31672496
S29,5.071035864,47.31042856
S30,5.00140075,47.31874067
S31,5.070123478,47.33429924
S32,5.065194764,47.32399943
S33,5.097910335,47.35001042
S34,5.172510683,47.27844659
S35,5.075019462,47.26061644
S36,5.062105874,47.23477929
S37,5.004533436,47.3526204
S38,5.005948723,47.26066151
S39,4.915430697,47.2781863
S40,5.02103938,47.36746295
S41,5.007082685,47.32543436
S42,5.027631536,47.31496173
S43,5.042423034,47.29827588
S44,4.954872494,47.3276953
S45,5.000298633,47.29619091
S46,5.028617713,47.3238976
S47,5.028738587,47.3232975
S48,5.006511636,47.2976774
S49,5.049991818,47.36610337
S50,4.954934494,47.34133127
S51,5.088329,47.266656
S52,5.03349,47.30591
S53,5.083,47.32042
S54,5.12831,47.32577
S55,5.03598,47.35587
S56,5.00132,47.36722
S57,4.95935,47.34851
S58,4.97607,47.3364
S59,4.99332,47.32454
S60,4.96009,47.30027
