timestamp;logger_name;si_value;varname;varunit
2014-06-05 22:00:00;S01;58.29;Humidité relative;%
2014-06-05 22:00:00;S02;65.28;Humidité relative;%
2014-06-05 22:00:00;S03;64.53;Humidité relative;%
2014-06-05 22:00:00;S04;63.47;Humidité relative;%
2014-06-05 22:00:00;S05;65.2;Humidité relative;%
2014-06-05 22:00:00;S06;57.17;Humidité relative;%
2014-06-05 22:00:00;S07;63.76;Humidité relative;%
2014-06-05 22:00:00;S08;58.67;Humidité relative;%
2014-06-05 22:00:00;S09;57.26;Humidité relative;%
2014-06-05 22:00:00;S10;66.57;Humidité relative;%
2014-06-05 22:00:00;S11;63.39;Humidité relative;%
2014-06-05 22:00:00;S12;68.37;Humidité relative;%
2014-06-05 22:00:00;S13;58.57;Humidité relative;%
2014-06-05 22:00:00;S14;58.54;Humidité relative;%
2014-06-05 22:00:00;S15;62.43;Humidité relative;%
2014-06-05 22:00:00;S16;65.77;Humidité relative;%
2014-06-05 22:00:00;S17;62.55;Humidité relative;%
2014-06-05 22:00:00;S19;67.61;Humidité relative;%
2014-06-05 22:00:00;S20;72.03;Humidité relative;%
2014-06-05 22:00:00;S21;71.34;Humidité relative;%
2014-06-05 22:00:00;S22;68.88;Humidité relative;%
2014-06-05 22:00:00;S23;76.35;Humidité relative;%
2014-06-05 22:00:00;S24;65.01;Humidité relative;%
2014-06-05 22:00:00;S25;69.81;Humidité relative;%
2014-06-05 22:00:00;S26;70.71;Humidité relative;%
2014-06-05 22:00:00;S27;71.52;Humidité relative;%
2014-06-05 22:00:00;S28;56.73;Humidité relative;%
2014-06-05 22:00:00;S29;63.34;Humidité relative;%
2014-06-05 22:00:00;S30;76.74;Humidité relative;%
2014-06-05 22:00:00;S31;63.04;Humidité relative;%
2014-06-05 22:00:00;S32;65.28;Humidité relative;%
2014-06-05 22:00:00;S33;86.87;Humidité relative;%
2014-06-05 22:00:00;S34;84.86;Humidité relative;%
2014-06-05 22:00:00;S35;73.61;Humidité relative;%
2014-06-05 22:00:00;S36;67.81;Humidité relative;%
2014-06-05 22:00:00;S37;71.95;Humidité relative;%
2014-06-05 22:00:00;S38;76.78;Humidité relative;%
2014-06-05 22:00:00;S39;55.37;Humidité relative;%
2014-06-05 22:00:00;S40;78.25;Humidité relative;%
2014-06-05 22:00:00;S41;78.78;Humidité relative;%
2014-06-05 22:00:00;S42;74.07;Humidité relative;%
2014-06-05 22:00:00;S43;74.05;Humidité relative;%
2014-06-05 22:00:00;S44;54.91;Humidité relative;%
2014-06-05 22:00:00;S45;62.5;Humidité relative;%
2014-06-05 22:00:00;S46;62.97;Humidité relative;%
2014-06-05 22:00:00;S47;65.04;Humidité relative;%
2014-06-05 22:00:00;S48;61.49;Humidité relative;%
2014-06-05 22:00:00;S49;64.06;Humidité relative;%
2014-06-05 22:00:00;S50;83.08;Humidité relative;%
2014-06-05 22:00:00;S51;77.0;Humidité relative;%
2014-06-05 23:00:00;S01;63.45;Humidité relative;%
2014-06-05 23:00:00;S02;66.13;Humidité relative;%
2014-06-05 23:00:00;S03;68.52;Humidité relative;%
2014-06-05 23:00:00;S04;63.84;Humidité relative;%
2014-06-05 23:00:00;S05;68.42;Humidité relative;%
2014-06-05 23:00:00;S06;62.36;Humidité relative;%
2014-06-05 23:00:00;S07;69.08;Humidité relative;%
2014-06-05 23:00:00;S08;64.72;Humidité relative;%
2014-06-05 23:00:00;S09;60.55;Humidité relative;%
2014-06-05 23:00:00;S10;72.2;Humidité relative;%
2014-06-05 23:00:00;S11;70.38;Humidité relative;%
2014-06-05 23:00:00;S12;74.51;Humidité relative;%
2014-06-05 23:00:00;S13;63.69;Humidité relative;%
2014-06-05 23:00:00;S14;62.24;Humidité relative;%
2014-06-05 23:00:00;S15;68.42;Humidité relative;%
2014-06-05 23:00:00;S16;70.64;Humidité relative;%
2014-06-05 23:00:00;S17;68.12;Humidité relative;%
2014-06-05 23:00:00;S19;72.35;Humidité relative;%
2014-06-05 23:00:00;S20;79.58;Humidité relative;%
2014-06-05 23:00:00;S21;73.55;Humidité relative;%
2014-06-05 23:00:00;S22;72.49;Humidité relative;%
2014-06-05 23:00:00;S23;81.31;Humidité relative;%
2014-06-05 23:00:00;S24;69.04;Humidité relative;%
2014-06-05 23:00:00;S25;73.65;Humidité relative;%
2014-06-05 23:00:00;S26;73.64;Humidité relative;%
2014-06-05 23:00:00;S27;76.36;Humidité relative;%
2014-06-05 23:00:00;S28;58.47;Humidité relative;%
2014-06-05 23:00:00;S29;68.71;Humidité relative;%
2014-06-05 23:00:00;S30;79.67;Humidité relative;%
2014-06-05 23:00:00;S31;67.73;Humidité relative;%
2014-06-05 23:00:00;S32;69.84;Humidité relative;%
2014-06-05 23:00:00;S33;90.9;Humidité relative;%
2014-06-05 23:00:00;S34;88.28;Humidité relative;%
2014-06-05 23:00:00;S35;78.0;Humidité relative;%
2014-06-05 23:00:00;S36;74.27;Humidité relative;%
2014-06-05 23:00:00;S37;73.54;Humidité relative;%
2014-06-05 23:00:00;S38;77.69;Humidité relative;%
2014-06-05 23:00:00;S39;60.41;Humidité relative;%
2014-06-05 23:00:00;S40;82.41;Humidité relative;%
2014-06-05 23:00:00;S41;83.62;Humidité relative;%
2014-06-05 23:00:00;S42;79.76;Humidité relative;%
2014-06-05 23:00:00;S43;74.01;Humidité relative;%
2014-06-05 23:00:00;S44;58.84;Humidité relative;%
2014-06-05 23:00:00;S45;64.75;Humidité relative;%
2014-06-05 23:00:00;S46;67.75;Humidité relative;%
2014-06-05 23:00:00;S47;70.0;Humidité relative;%
2014-06-05 23:00:00;S48;65.08;Humidité relative;%
2014-06-05 23:00:00;S49;66.78;Humidité relative;%
2014-06-05 23:00:00;S50;85.22;Humidité relative;%
2014-06-05 23:00:00;S51;84.0;Humidité relative;%
2014-06-06 00:00:00;S01;65.64;Humidité relative;%
2014-06-06 00:00:00;S02;71.7;Humidité relative;%
2014-06-06 00:00:00;S03;71.07;Humidité relative;%
2014-06-06 00:00:00;S04;64.5;Humidité relative;%
2014-06-06 00:00:00;S05;71.07;Humidité relative;%
2014-06-06 00:00:00;S06;65.26;Humidité relative;%
2014-06-06 00:00:00;S07;72.25;Humidité relative;%
2014-06-06 00:00:00;S08;66.65;Humidité relative;%
2014-06-06 00:00:00;S09;63.27;Humidité relative;%
2014-06-06 00:00:00;S10;75.71;Humidité relative;%
2014-06-06 00:00:00;S11;74.3;Humidité relative;%
2014-06-06 00:00:00;S12;78.35;Humidité relative;%
2014-06-06 00:00:00;S13;67.16;Humidité relative;%
2014-06-06 00:00:00;S14;65.94;Humidité relative;%
2014-06-06 00:00:00;S15;69.53;Humidité relative;%
2014-06-06 00:00:00;S16;72.85;Humidité relative;%
2014-06-06 00:00:00;S17;72.37;Humidité relative;%
2014-06-06 00:00:00;S19;73.04;Humidité relative;%
2014-06-06 00:00:00;S20;81.81;Humidité relative;%
2014-06-06 00:00:00;S21;75.56;Humidité relative;%
2014-06-06 00:00:00;S22;74.96;Humidité relative;%
2014-06-06 00:00:00;S23;83.05;Humidité relative;%
2014-06-06 00:00:00;S24;71.01;Humidité relative;%
2014-06-06 00:00:00;S25;77.69;Humidité relative;%
2014-06-06 00:00:00;S26;77.1;Humidité relative;%
2014-06-06 00:00:00;S27;80.64;Humidité relative;%
2014-06-06 00:00:00;S28;61.1;Humidité relative;%
2014-06-06 00:00:00;S29;72.21;Humidité relative;%
2014-06-06 00:00:00;S30;81.49;Humidité relative;%
2014-06-06 00:00:00;S31;71.45;Humidité relative;%
2014-06-06 00:00:00;S32;73.67;Humidité relative;%
2014-06-06 00:00:00;S33;91.9;Humidité relative;%
2014-06-06 00:00:00;S34;86.97;Humidité relative;%
2014-06-06 00:00:00;S35;81.33;Humidité relative;%
2014-06-06 00:00:00;S36;75.07;Humidité relative;%
2014-06-06 00:00:00;S37;74.32;Humidité relative;%
2014-06-06 00:00:00;S38;80.57;Humidité relative;%
2014-06-06 00:00:00;S39;62.55;Humidité relative;%
2014-06-06 00:00:00;S40;84.85;Humidité relative;%
2014-06-06 00:00:00;S41;86.87;Humidité relative;%
2014-06-06 00:00:00;S42;81.95;Humidité relative;%
2014-06-06 00:00:00;S43;76.38;Humidité relative;%
2014-06-06 00:00:00;S44;59.5;Humidité relative;%
2014-06-06 00:00:00;S45;66.96;Humidité relative;%
2014-06-06 00:00:00;S46;72.56;Humidité relative;%
2014-06-06 00:00:00;S47;73.91;Humidité relative;%
2014-06-06 00:00:00;S48;67.56;Humidité relative;%
2014-06-06 00:00:00;S49;69.19;Humidité relative;%
2014-06-06 00:00:00;S50;86.83;Humidité relative;%
2014-06-06 00:00:00;S51;82.0;Humidité relative;%
2014-06-06 01:00:00;S01;67.92;Humidité relative;%
2014-06-06 01:00:00;S02;74.25;Humidité relative;%
2014-06-06 01:00:00;S03;72.68;Humidité relative;%
2014-06-06 01:00:00;S04;65.0;Humidité relative;%
2014-06-06 01:00:00;S05;73.37;Humidité relative;%
2014-06-06 01:00:00;S06;67.8;Humidité relative;%
2014-06-06 01:00:00;S07;74.63;Humidité relative;%
2014-06-06 01:00:00;S08;69.97;Humidité relative;%
2014-06-06 01:00:00;S09;66.73;Humidité relative;%
2014-06-06 01:00:00;S10;77.99;Humidité relative;%
2014-06-06 01:00:00;S11;76.81;Humidité relative;%
2014-06-06 01:00:00;S12;81.5;Humidité relative;%
2014-06-06 01:00:00;S13;70.45;Humidité relative;%
2014-06-06 01:00:00;S14;67.17;Humidité relative;%
2014-06-06 01:00:00;S15;69.72;Humidité relative;%
2014-06-06 01:00:00;S16;74.61;Humidité relative;%
2014-06-06 01:00:00;S17;76.34;Humidité relative;%
2014-06-06 01:00:00;S19;72.71;Humidité relative;%
2014-06-06 01:00:00;S20;84.47;Humidité relative;%
2014-06-06 01:00:00;S21;77.81;Humidité relative;%
2014-06-06 01:00:00;S22;76.84;Humidité relative;%
2014-06-06 01:00:00;S23;84.86;Humidité relative;%
2014-06-06 01:00:00;S24;74.43;Humidité relative;%
2014-06-06 01:00:00;S25;80.28;Humidité relative;%
2014-06-06 01:00:00;S26;79.15;Humidité relative;%
2014-06-06 01:00:00;S27;83.35;Humidité relative;%
2014-06-06 01:00:00;S28;62.23;Humidité relative;%
2014-06-06 01:00:00;S29;74.02;Humidité relative;%
2014-06-06 01:00:00;S30;82.58;Humidité relative;%
2014-06-06 01:00:00;S31;73.52;Humidité relative;%
2014-06-06 01:00:00;S32;75.48;Humidité relative;%
2014-06-06 01:00:00;S33;93.01;Humidité relative;%
2014-06-06 01:00:00;S34;88.42;Humidité relative;%
2014-06-06 01:00:00;S35;79.96;Humidité relative;%
2014-06-06 01:00:00;S36;76.68;Humidité relative;%
2014-06-06 01:00:00;S37;77.3;Humidité relative;%
2014-06-06 01:00:00;S38;82.73;Humidité relative;%
2014-06-06 01:00:00;S39;62.33;Humidité relative;%
2014-06-06 01:00:00;S40;86.88;Humidité relative;%
2014-06-06 01:00:00;S41;89.72;Humidité relative;%
2014-06-06 01:00:00;S42;84.53;Humidité relative;%
2014-06-06 01:00:00;S43;79.16;Humidité relative;%
2014-06-06 01:00:00;S44;62.08;Humidité relative;%
2014-06-06 01:00:00;S45;65.88;Humidité relative;%
2014-06-06 01:00:00;S46;73.56;Humidité relative;%
2014-06-06 01:00:00;S47;75.45;Humidité relative;%
2014-06-06 01:00:00;S48;69.61;Humidité relative;%
2014-06-06 01:00:00;S49;70.13;Humidité relative;%
2014-06-06 01:00:00;S50;87.73;Humidité relative;%
2014-06-06 01:00:00;S51;81.0;Humidité relative;%
2014-06-06 02:00:00;S01;69.28;Humidité relative;%
2014-06-06 02:00:00;S02;75.74;Humidité relative;%
2014-06-06 02:00:00;S03;73.28;Humidité relative;%
2014-06-06 02:00:00;S04;65.87;Humidité relative;%
2014-06-06 02:00:00;S05;74.95;Humidité relative;%
2014-06-06 02:00:00;S06;69.31;Humidité relative;%
2014-06-06 02:00:00;S07;76.36;Humidité relative;%
2014-06-06 02:00:00;S08;71.99;Humidité relative;%
2014-06-06 02:00:00;S09;68.78;Humidité relative;%
2014-06-06 02:00:00;S10;79.57;Humidité relative;%
2014-06-06 02:00:00;S11;78.48;Humidité relative;%
2014-06-06 02:00:00;S12;83.36;Humidité relative;%
2014-06-06 02:00:00;S13;73.64;Humidité relative;%
2014-06-06 02:00:00;S14;69.7;Humidité relative;%
2014-06-06 02:00:00;S15;72.12;Humidité relative;%
2014-06-06 02:00:00;S16;75.25;Humidité relative;%
2014-06-06 02:00:00;S17;78.69;Humidité relative;%
2014-06-06 02:00:00;S19;74.81;Humidité relative;%
2014-06-06 02:00:00;S20;84.9;Humidité relative;%
2014-06-06 02:00:00;S21;79.93;Humidité relative;%
2014-06-06 02:00:00;S22;79.0;Humidité relative;%
2014-06-06 02:00:00;S23;84.36;Humidité relative;%
2014-06-06 02:00:00;S24;76.79;Humidité relative;%
2014-06-06 02:00:00;S25;83.47;Humidité relative;%
2014-06-06 02:00:00;S26;80.77;Humidité relative;%
2014-06-06 02:00:00;S27;85.51;Humidité relative;%
2014-06-06 02:00:00;S28;61.87;Humidité relative;%
2014-06-06 02:00:00;S29;74.53;Humidité relative;%
2014-06-06 02:00:00;S30;87.14;Humidité relative;%
2014-06-06 02:00:00;S31;74.66;Humidité relative;%
2014-06-06 02:00:00;S32;76.74;Humidité relative;%
2014-06-06 02:00:00;S33;93.85;Humidité relative;%
2014-06-06 02:00:00;S34;87.38;Humidité relative;%
2014-06-06 02:00:00;S35;80.46;Humidité relative;%
2014-06-06 02:00:00;S36;80.75;Humidité relative;%
2014-06-06 02:00:00;S37;78.95;Humidité relative;%
2014-06-06 02:00:00;S38;83.47;Humidité relative;%
2014-06-06 02:00:00;S39;67.85;Humidité relative;%
2014-06-06 02:00:00;S40;88.09;Humidité relative;%
2014-06-06 02:00:00;S41;92.01;Humidité relative;%
2014-06-06 02:00:00;S42;85.45;Humidité relative;%
2014-06-06 02:00:00;S43;80.91;Humidité relative;%
2014-06-06 02:00:00;S44;69.12;Humidité relative;%
2014-06-06 02:00:00;S45;71.68;Humidité relative;%
2014-06-06 02:00:00;S46;75.66;Humidité relative;%
2014-06-06 02:00:00;S47;77.98;Humidité relative;%
2014-06-06 02:00:00;S48;72.85;Humidité relative;%
2014-06-06 02:00:00;S49;70.83;Humidité relative;%
2014-06-06 02:00:00;S50;87.41;Humidité relative;%
2014-06-06 02:00:00;S51;84.0;Humidité relative;%
2014-06-06 03:00:00;S01;70.15;Humidité relative;%
2014-06-06 03:00:00;S02;77.33;Humidité relative;%
2014-06-06 03:00:00;S03;73.96;Humidité relative;%
2014-06-06 03:00:00;S04;70.18;Humidité relative;%
2014-06-06 03:00:00;S05;77.04;Humidité relative;%
2014-06-06 03:00:00;S06;70.42;Humidité relative;%
2014-06-06 03:00:00;S07;77.07;Humidité relative;%
2014-06-06 03:00:00;S08;73.01;Humidité relative;%
2014-06-06 03:00:00;S09;70.51;Humidité relative;%
2014-06-06 03:00:00;S10;80.55;Humidité relative;%
2014-06-06 03:00:00;S11;79.89;Humidité relative;%
2014-06-06 03:00:00;S12;84.81;Humidité relative;%
2014-06-06 03:00:00;S13;76.71;Humidité relative;%
2014-06-06 03:00:00;S14;73.05;Humidité relative;%
2014-06-06 03:00:00;S15;75.79;Humidité relative;%
2014-06-06 03:00:00;S16;77.18;Humidité relative;%
2014-06-06 03:00:00;S17;80.34;Humidité relative;%
2014-06-06 03:00:00;S19;78.3;Humidité relative;%
2014-06-06 03:00:00;S20;86.06;Humidité relative;%
2014-06-06 03:00:00;S21;81.38;Humidité relative;%
2014-06-06 03:00:00;S22;81.07;Humidité relative;%
2014-06-06 03:00:00;S23;85.3;Humidité relative;%
2014-06-06 03:00:00;S24;78.22;Humidité relative;%
2014-06-06 03:00:00;S25;85.79;Humidité relative;%
2014-06-06 03:00:00;S26;84.2;Humidité relative;%
2014-06-06 03:00:00;S27;86.58;Humidité relative;%
2014-06-06 03:00:00;S28;64.33;Humidité relative;%
2014-06-06 03:00:00;S29;75.46;Humidité relative;%
2014-06-06 03:00:00;S30;89.29;Humidité relative;%
